Manufacturer,Sales_in_thousands,year_resale_value,Vehicle_type,Price_in_thousands,Engine_size,Horsepower,Wheelbase,Width,Length,Curb_weight,Fuel_capacity,Fuel_efficiency,Power_perf_factor
1,16.919,16.36,1,21.5,1.8,140,101.2,67.3,172.4,2.639,13.2,28,58.28014952
1,39.384,19.875,1,28.4,3.2,225,108.1,70.3,192.9,3.517,17.2,25,91.37077766
1,14.114,18.225,1,28.4,3.2,225,106.9,70.6,192,3.47,17.2,26,91.38977933
1,8.588,29.725,1,42,3.5,210,114.6,71.4,196.6,3.85,18,22,91.38977933
2,20.397,22.255,1,23.99,1.8,150,102.6,68.2,178,2.998,16.4,27,62.7776392
2,18.78,23.555,1,33.95,2.8,200,108.7,76.1,192,3.561,18.5,22,84.56510502
2,1.38,39,1,62,4.2,310,113,74,198.2,3.902,23.7,21,134.6568582
3,19.747,24,1,26.99,2.5,170,107.3,68.4,176,3.179,16.6,26,71.19120671
3,9.231,28.675,1,33.4,2.8,193,107.3,68.5,176,3.197,16.6,24,81.87706856
3,17.527,36.125,1,38.9,2.8,193,111.4,70.9,188,3.472,18.5,25,83.9987238
4,91.561,12.475,1,21.975,3.1,175,109,72.7,194.6,3.368,17.5,25,71.18145132
4,39.35,13.74,1,25.3,3.8,240,109,72.7,196.2,3.543,17.5,23,95.63670253
4,27.851,20.19,1,31.965,3.8,205,113.8,74.7,206.8,3.778,18.5,24,85.82840825
4,83.257,13.36,1,27.885,3.8,205,112.2,73.5,200,3.591,17.5,25,84.25452581
5,63.729,22.525,1,39.895,4.6,275,115.3,74.5,207.2,3.978,18.5,22,113.8545976
5,15.943,27.1,1,44.475,4.6,275,112.2,75,201,3.843,18.5,22,115.6213578
5,6.536,25.725,1,39.665,4.6,275,108,75.5,200.6,3.843,19,22,113.7658739
5,11.185,18.225,1,31.01,3,200,107.4,70.3,194.8,3.77,18,22,83.48309358
5,14.785,12,2,46.225,5.7,255,117.5,77,201.2,5.572,30,15,109.5091165
6,145.519,9.25,1,13.26,2.2,115,104.1,67.9,180.9,2.676,14.3,27,46.36334747
6,135.126,11.225,1,16.535,3.1,170,107,69.4,190.4,3.051,15,25,67.31446216
6,24.629,10.31,1,18.89,3.1,175,107.5,72.5,200.9,3.33,16.6,25,69.9913956
6,42.593,11.525,1,19.39,3.4,180,110.5,72.7,197.9,3.34,17,27,72.03091719
6,26.402,13.025,1,24.34,3.8,200,101.1,74.1,193.2,3.5,16.8,25,81.11854333
6,17.947,36.225,1,45.705,5.7,345,104.5,73.6,179.7,3.21,19.1,22,141.14115
6,32.299,9.125,1,13.96,1.8,120,97.1,66.7,174.3,2.398,13.2,33,48.2976361
